083019212	000000000	000000001	000000000
083019212	000000000	000000001	000000000
083019211	000000001	000000001	000000000
083019211	000000001	000000001	000000000
083019210	000000001	000000001	000000001
083019210	000000002	000000001	000000001
083019209	000000002	000000001	000000001
083019209	000000002	000000001	000000001
083019208	000000002	000000002	000000001
083019207	000000003	000000002	000000001
083019206	000000003	000000002	000000002
083019205	000000004	000000002	000000002
083019204	000000004	000000003	000000002
083019202	000000005	000000003	000000003
083019201	000000005	000000004	000000003
083019199	000000006	000000004	000000004
083019197	000000007	000000005	000000004
083019194	000000008	000000005	000000005
083019192	000000009	000000006	000000006
083019188	000000011	000000007	000000007
083019185	000000012	000000008	000000008
083019181	000000014	000000009	000000009
083019176	000000016	000000010	000000011
083019170	000000018	000000012	000000012
083019164	000000021	000000014	000000014
083019157	000000024	000000016	000000016
083019149	000000028	000000018	000000019
083019139	000000032	000000021	000000021
083019129	000000036	000000024	000000025
083019116	000000041	000000027	000000028
083019102	000000047	000000031	000000032
083019086	000000054	000000036	000000037
083019068	000000062	000000041	000000042
083019046	000000071	000000047	000000049
083019022	000000082	000000053	000000056
083018995	000000093	000000061	000000064
083018963	000000107	000000070	000000073
083018926	000000123	000000080	000000084
083018885	000000140	000000092	000000096
083018837	000000161	000000105	000000110
083018782	000000184	000000120	000000126
083018720	000000211	000000138	000000145
083018648	000000241	000000158	000000166
083018566	000000276	000000180	000000190
083018473	000000316	000000207	000000217
083018365	000000362	000000237	000000249
083018242	000000415	000000271	000000285
083018101	000000475	000000310	000000327
083017940	000000544	000000355	000000374
083017755	000000623	000000407	000000429
083017543	000000713	000000466	000000491
083017301	000000817	000000533	000000562
083017023	000000935	000000611	000000644
083016706	000001071	000000699	000000737
083016342	000001226	000000801	000000844
083015925	000001404	000000917	000000967
083015448	000001608	000001050	000001107
083014902	000001841	000001202	000001268
083014277	000002108	000001377	000001452
083013561	000002413	000001577	000001662
083012741	000002764	000001805	000001903
083011802	000003164	000002067	000002180
083010726	000003624	000002367	000002496
083009495	000004149	000002711	000002858
083008086	000004751	000003104	000003273
083006471	000005440	000003554	000003748
083004623	000006229	000004069	000004291
083002507	000007133	000004660	000004914
083000084	000008167	000005336	000005627
082997309	000009352	000006110	000006443
082994132	000010708	000006996	000007378
082991467	000011369	000007933	000008444
082988467	000012227	000008875	000009644
082985125	000013254	000009852	000010982
082981426	000014439	000010887	000012462
082977344	000015776	000011998	000014096
082975287	000015036	000013005	000015885
082973086	000014551	000013776	000017800
082970772	000014249	000014379	000019813
082968370	000014077	000014863	000021903
082965897	000014000	000015261	000024055
082963363	000013990	000015600	000026260
082960777	000014029	000015896	000028510
082958145	000014104	000016163	000030801
082955471	000014205	000016410	000033128
082952758	000014325	000016642	000035489
082950008	000014458	000016865	000037882
082947221	000014603	000017082	000040307
082944400	000014755	000017295	000042762
082941544	000014914	000017507	000045248
082938653	000015078	000017717	000047764
082935728	000015247	000017928	000050310
082932769	000015419	000018139	000052887
082929774	000015594	000018352	000055493
082926745	000015772	000018566	000058130
082923681	000015952	000018783	000060798
082920581	000016135	000019001	000063497
082917445	000016320	000019221	000066227
082914273	000016508	000019444	000068988
082911064	000016698	000019669	000071782
082907818	000016890	000019896	000074608
082905538	000016168	000020044	000077463
082903248	000015574	000020062	000080329
082900962	000015075	000019986	000083190
082898689	000014647	000019841	000086036
082896435	000014272	000019648	000088857
082894206	000013938	000019421	000091648
082892004	000013634	000019171	000094405
082889831	000013353	000018904	000097125
082887690	000013091	000018627	000099806
082885581	000012843	000018343	000102446
082883504	000012606	000018057	000105046
082881460	000012378	000017769	000107605
082879449	000012159	000017482	000110123
082877471	000011946	000017196	000112600
082875526	000011738	000016913	000115036
082873612	000011536	000016632	000117432
082871730	000011338	000016356	000119789
082869880	000011145	000016082	000122106
082868061	000010955	000015813	000124384
082866272	000010769	000015548	000126624
082864513	000010586	000015287	000128826
082862784	000010407	000015030	000130992
082861084	000010231	000014777	000133121
082859413	000010058	000014528	000135214
082857770	000009888	000014283	000137272
082856154	000009721	000014043	000139295
082854566	000009556	000013806	000141284
082853005	000009395	000013573	000143240
082851470	000009236	000013344	000145163
082849961	000009080	000013119	000147053
082848477	000008927	000012898	000148911
082847019	000008776	000012680	000150738
082845585	000008628	000012466	000152534
082844175	000008482	000012256	000154300
082842789	000008339	000012049	000156036
082841427	000008198	000011846	000157743
082840087	000008060	000011646	000159421
082838770	000007923	000011449	000161070
082837476	000007790	000011256	000162692
082836203	000007658	000011066	000164286
082834952	000007529	000010879	000165854
082833722	000007401	000010695	000167395
082832513	000007276	000010514	000168910
082831324	000007153	000010337	000170399
082830155	000007032	000010162	000171863
082829006	000006914	000009991	000173303
082827877	000006797	000009822	000174718
082826767	000006682	000009656	000176109
082825675	000006569	000009493	000177477
082824602	000006458	000009332	000178821
082823547	000006349	000009175	000180143
082822510	000006241	000009020	000181443
082821490	000006136	000008867	000182720
082820487	000006032	000008717	000183976
082819502	000005930	000008570	000185211
082818533	000005830	000008425	000186425
082817581	000005731	000008283	000187618
082816645	000005634	000008143	000188791
082815724	000005539	000008005	000189945
082814819	000005445	000007870	000191079
082813930	000005353	000007737	000192193
082813055	000005263	000007606	000193289
082812195	000005174	000007477	000194367
082811350	000005086	000007351	000195426
082810519	000005000	000007227	000196467
082809703	000004916	000007104	000197491
082808900	000004832	000006984	000198497
082808110	000004751	000006866	000199486
082807334	000004670	000006750	000200459
082806571	000004591	000006636	000201415
082805821	000004514	000006524	000202355
082805084	000004437	000006413	000203279
082804359	000004362	000006305	000204187
082803646	000004288	000006198	000205080
082802946	000004216	000006093	000205958
082802257	000004144	000005990	000206821
082801580	000004074	000005889	000207670
082800915	000004005	000005789	000208504
082800260	000003938	000005691	000209324
082799617	000003871	000005595	000210130
082798985	000003805	000005500	000210922
082798363	000003741	000005407	000211702
082797752	000003678	000005316	000212467
082797151	000003615	000005226	000213220
082796561	000003554	000005137	000213961
082795980	000003494	000005050	000214688
082795410	000003435	000004965	000215404
082794848	000003377	000004881	000216107
082794297	000003320	000004798	000216798
082793755	000003263	000004717	000217478
082793222	000003208	000004637	000218146
082792697	000003154	000004559	000218803
082792182	000003100	000004482	000219449
082791676	000003048	000004406	000220083
082791178	000002996	000004331	000220707
082790689	000002946	000004258	000221321
082790207	000002896	000004186	000221924
082789734	000002847	000004115	000222517
082789269	000002799	000004045	000223100
082788812	000002751	000003977	000223673
082788363	000002705	000003909	000224236
082787921	000002659	000003843	000224790
082787487	000002614	000003778	000225334
